reader 0 created.
reader 4 created.
reader 1 created.
reader 2 created.
reader 3 on iteration 61. sharedBuffer is 40.
reader 0 on iteration 102. sharedBuffer is 40.
reader 2 on iteration 78. sharedBuffer is 40.
reader 2 on iteration 79. sharedBuffer is 40.
reader 2 on iteration 80. sharedBuffer is 40.
reader 2 on iteration 81. sharedBuffer is 40.
reader 2 on iteration 82. sharedBuffer is 40.
reader 3 on iteration 62. sharedBuffer is 40.
reader 4 on iteration 82. sharedBuffer is 40.
reader 1 on iteration 94. sharedBuffer is 40.
reader 2 on iteration 83. sharedBuffer is 40.
reader 4 on iteration 83. sharedBuffer is 40.
reader 1 on iteration 95. sharedBuffer is 40.
reader 0 on iteration 103. sharedBuffer is 40.
reader 0 on iteration 104. sharedBuffer is 40.
reader 0 on iteration 105. sharedBuffer is 40.
reader 0 on iteration 106. sharedBuffer is 40.
reader 2 on iteration 84. sharedBuffer is 40.
reader 4 on iteration 84. sharedBuffer is 40.
reader 3 on iteration 63. sharedBuffer is 40.
reader 2 on iteration 85. sharedBuffer is 40.
reader 1 on iteration 96. sharedBuffer is 40.
reader 2 on iteration 86. sharedBuffer is 40.
reader 1 on iteration 97. sharedBuffer is 40.
reader 0 on iteration 107. sharedBuffer is 40.
reader 2 on iteration 87. sharedBuffer is 40.
reader 3 on iteration 64. sharedBuffer is 40.
reader 0 on iteration 108. sharedBuffer is 40.
reader 3 on iteration 65. sharedBuffer is 40.
reader 1 on iteration 98. sharedBuffer is 40.
reader 0 on iteration 109. sharedBuffer is 40.
reader 1 on iteration 99. sharedBuffer is 40.
reader 2 on iteration 88. sharedBuffer is 40.
reader 3 on iteration 66. sharedBuffer is 40.
reader 1 on iteration 100. sharedBuffer is 40.
reader 4 on iteration 85. sharedBuffer is 40.
reader 3 on iteration 67. sharedBuffer is 40.
reader 1 on iteration 101. sharedBuffer is 40.
reader 3 on iteration 68. sharedBuffer is 40.
reader 2 on iteration 89. sharedBuffer is 40.
reader 1 on iteration 102. sharedBuffer is 40.
reader 1 on iteration 103. sharedBuffer is 40.
reader 4 on iteration 86. sharedBuffer is 40.
reader 0 on iteration 110. sharedBuffer is 40.
reader 3 on iteration 69. sharedBuffer is 40.
reader 0 on iteration 111. sharedBuffer is 40.
reader 3 on iteration 70. sharedBuffer is 40.
reader 1 on iteration 104. sharedBuffer is 40.
reader 4 on iteration 87. sharedBuffer is 40.
reader 0 on iteration 112. sharedBuffer is 40.
reader 2 on iteration 90. sharedBuffer is 40.
reader 3 on iteration 71. sharedBuffer is 40.
reader 4 on iteration 88. sharedBuffer is 40.
reader 3 on iteration 72. sharedBuffer is 40.
reader 1 on iteration 105. sharedBuffer is 40.
reader 4 on iteration 89. sharedBuffer is 40.
reader 0 on iteration 113. sharedBuffer is 40.
reader 2 on iteration 91. sharedBuffer is 40.
reader 1 on iteration 106. sharedBuffer is 40.
reader 3 on iteration 73. sharedBuffer is 40.
reader 0 on iteration 114. sharedBuffer is 40.
reader 4 on iteration 90. sharedBuffer is 40.
reader 1 on iteration 107. sharedBuffer is 40.
reader 4 on iteration 91. sharedBuffer is 40.
reader 1 on iteration 108. sharedBuffer is 40.
reader 3 on iteration 74. sharedBuffer is 40.
reader 0 on iteration 115. sharedBuffer is 40.
reader 4 on iteration 92. sharedBuffer is 40.
reader 0 on iteration 116. sharedBuffer is 40.
reader 2 on iteration 92. sharedBuffer is 40.
reader 3 on iteration 75. sharedBuffer is 40.
reader 0 on iteration 117. sharedBuffer is 40.
reader 2 on iteration 93. sharedBuffer is 40.
reader 4 on iteration 93. sharedBuffer is 40.
reader 3 on iteration 76. sharedBuffer is 40.
reader 2 on iteration 94. sharedBuffer is 40.
reader 3 on iteration 77. sharedBuffer is 40.
reader 3 on iteration 78. sharedBuffer is 40.
reader 3 on iteration 79. sharedBuffer is 40.
reader 3 on iteration 80. sharedBuffer is 40.
reader 3 on iteration 81. sharedBuffer is 40.
reader 3 on iteration 82. sharedBuffer is 40.
reader 3 on iteration 83. sharedBuffer is 40.
reader 4 on iteration 94. sharedBuffer is 40.
reader 3 on iteration 84. sharedBuffer is 40.
reader 3 on iteration 85. sharedBuffer is 40.
reader 3 on iteration 86. sharedBuffer is 40.
reader 3 on iteration 87. sharedBuffer is 40.
reader 3 on iteration 88. sharedBuffer is 40.
reader 3 on iteration 89. sharedBuffer is 40.
reader 4 on iteration 95. sharedBuffer is 40.
reader 2 on iteration 95. sharedBuffer is 40.
reader 3 on iteration 90. sharedBuffer is 40.
reader 0 on iteration 118. sharedBuffer is 40.
reader 1 on iteration 109. sharedBuffer is 40.
reader 3 on iteration 91. sharedBuffer is 40.
reader 3 on iteration 92. sharedBuffer is 40.
